title,rating,recommendation,date,position,department,location,pros,cons,suggestions,Arbeitsatmosphäre,Work-Life-Balance,Gehalt/Sozialleistungen,Kollegenzusammenhalt,Umgang mit älteren Kollegen,Vorgesetztenverhalten,Image,Karriere/Weiterbildung,Umwelt-/Sozialbewusstsein,Arbeitsbedingungen,Gleichberechtigung,Interessante Aufgaben,Kommunikation
Wenn sie sich mal Mental richtig brechen lassen wollen sind sie hier genau richtig.,,Nicht empfohlen,September 2025,,,,Den Feierabend,"Jedem sollte vor Antritt bewusst werden, das man schneller als einem Lieb ist, hier ganz schnell und ganz übel unter die Räder kommen kann.",Da gab und gibt es einiges. Es wird nur nicht umgesetzt. Get Woke or get broke.,Wer auf Hasenkastenbüros steht wird hier sein Eldorado finden. Es wird eine Atmosphäre aus Angst und Leistungsdruck geschürt.,Als Führungskraft besser möglich gegenüber dem gewöhnlichen Mitarbeiter. Den kann man quetschen bis die Kerne Quietschen.,Der allgemeine Zeitarbeiter hat da mehr von. Jegliche Qualifikation können sie sich schenken. Die wird nicht gebraucht.,Solange es den eigenen Interessen dient gibt es auch Zusammenhalt.,Ja mit denen wird auch umgegangen.,Bis auf ein zwei Ausnahmen eher ein Sprungbrett Richtung Zentrale.Jeder ist sich selbst der nächste. Je weiter weg man von der Logistik kommt umso besser.,Nach außen wird ein familiäres Klima vermittelt. Jedoch zieht seine Nummer zu Beginn. Unter dem Banner des Regenbogens ist das Credo.,Auf Aus- bzw. Weiterbildungen wird nicht geachtet.,Je mehr Papier verballert wird umso besser. GoGreen,"Fehlende Zugänge, Einweisungen etc. sind absoluter Standard. Passend zu der fehlenden Bürofläche gibt es einmal die wenigstens Obst damit man das Hamsterrad nicht so hart spürt in welchen man sich bewegt.",Manche sind halt gleicher als gleich. Ohne den nötigen Background hat man schon den grossen Nachteil.,Auf dem Papier gibt es total spannende Sachen. Die jedoch selten zu Ende gedacht sind.,Der Buschfunk funktioniert Prima. Einseitige Konfliktlösungen sind der Standard. Koste es was wolle.
Einstellungsprozess Deutsche Post Dortmund,,Empfohlen,September 2025,,,,Nicht kompliziert. Alle Mitarbeiter waren sehr freundlich und hilfsbereit.,,,,,,,,,,,,,,,
Ich warte auf antwart,,Empfohlen,September 2025,,,,Noch nicht,Nicht gemaldet,Wahrend dir regen nur paket zurgestelt werden,,,,,,,,,,,,,
Wir suchen die besten Arbeitgeber,,,,,,,,,,,,,,,,,,,,,,
2/10,,Nicht empfohlen,September 2025,,,,,"Die Personel Ableitung, ist sehr unfreundlich und kümmert sich nur wenn sie bockt hat, Wie der Fall bei mir war leider so das sie kein bock hätte.",,,,,,,,,,,,,,
Keine Abfindung für die Arbeiter,,Empfohlen,September 2025,Keine Abfindung für die Arbeiter,,,Weihnachtsgeld wird gezahlt.Qualitative Arbeitskleidung.Gesittete Umgangsformen auf allen Ebenen.Firmenrente.,"Vereinzelte Überlastung der Mitarbeiter. Bedeutet:Überbleibsel vom Vortag und neue Sendungen darf man ""oft"" alleine wegbringen.","Langjährige Briefträger mit einem Festvertrag sollten eine Abfindung erhalten, wenn sie den Konzern verlassen sollen.Das passiert aber so nicht.Lieber den Führungskräften, mit gefüllten Taschen, einen Abschiedsobolus darreichen?Moderne Unternehmerkultur sieht anders aus.Bitte nachbessern!",Gut. Doch bei Schlechtwetter geht die Laune in den Bach.,,,,,,,Bleib wie (wo) du bist.,,,,,
Gutes und Schlechtes trotz kurzer Testphase,,Nicht empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,Startchancen auch für QuereinsteigerProfessionelle ArbeitskleidungFür manchen Bewerber Gehalt ok,"zu schnelle Erfolgserwartung , die ungenormt und alleine auf der subjektiven ""Erfahrung"" eines Einarbeitungskollegen beruhen und einen , selbst nach Eigendarstellung in den Arbeitsunterlagen, viel zu kurzen Zeitraum betrachtenstatt 10/14 Tage für 1.Teil hier z.B. 5 Tage PraxisBeendigung des Arbeitsverhältnisses erfolgt nach Einschätzung des Unternehmens praktiziert ohne Einhaltung gesetzl. Vorschriften formal und ohne Frist (z.B. Beachtung 2-wöchig innerhalb Probezeit) von heute auf morgen","Fahrzeuge technischHandyscanner Oberfläche/Bedienunggemischte Zustellung unterm Strich keine Verbesserung , erst recht nicht für den Zustellerund ganz wichtig : Einarbeitung insbesondere für Quereinsteiger in der Praxiss o umsetzen, wie es in der eigenen Lernfibel propagiert wird.GGF. Einarbeitung für erste Schritte doch nicht mit gestressten Kollegen im Zielbezirk",Bewerbungsprozess und Vorbereitung als Quereinsteiger Zustellung sehr gut. Arbeitskleidung und Freundlichkeit gut. Bei Antritt als Neuling kippt der Eindruck durch Kombination von Arbeitsvolumen und mangelnder Professionalität Einarbeitung am Einsatzstandort,"Volumen für Zustellung nach Zufallsprinzip zwischen a) machbar wenn Routine und Technik inkl. Fahrzeug nicht zicken und z) unmachbar selbst bei ""Pausenverzicht""","für Branche angemessenes Grundgehalt zzgl. Altersvorsorge, Weihnachtsgeld, Urlaubszahlungim Verhältnis zu Arbeitsleistung und Stress eher schlechter","Stimmung und Ton zwischen vordergründig freundlich neutral bis hinterm Rücken Lästern über z.B. Zustellungs-Abbrecher , weil Volumen nicht geschafft","schwer zu beurteilen aufgrund Kürze des ""Arbeitsverhältnisses""","im Standort semiprofessionell technisch und theoretisch , wenn auch bemüht um freundliches und verständnisvolles Auftreten",Auftritt und Image in Öffentlichkeit besser als Wettbewerber,,e-Mobilität gut,"gut: Kleidung, feste Arbeitszeitenschlecht: e-scooter KFZ Fahrzeugtechnik sperrig , Starten, Automatik, Türöffnung Beladung, Transportsicherung nein,...Scanner kann viel ist aber verschachelt in Bedienoberfläche und sehr sensibel auf Berührung daher oft im falschen Menü bzw. ver-scrolltam schlimmsten:Sendungsvolumen nach Anfall ungepuffert auf Bezirke unsortiert aufgeteilt,entweder Glück oder Pech mit Menge, wird vom Zusteller selbst sortiert, geordnet, vorbearbeitet, eingeladen, verteilt, ggf. Packstation und weitere übriggebliebene Sendungen nachbearbeitet zusammen mit Zustellungsvermerken","schwer zu beurteilen aufgrund Kürze des ""Arbeitsverhältnisses""","eher nein, muss man speziell mögen, ... tatsächlich aber Abwechslung Bewegung und Sitzen und frische Luft ...sowie verschiedene Arten der Sendungsarten (Paket, Brief, Einschreiben,..)","Zuerst gut...bis es los geht... und wenn Du nach 2 Tagen nicht den Bezirk und idealerweise alle Vorgänge inkl. Technik bereits aus dem FF beherrschst gibt es ...Stress . Zuerst ist der einarbeitende Kollege gestresst, der den Wagen leer bekommen möchte . Dann überträgt sich die Stimmung auf den Neuling. Dann bekommt der Neuling motivierende Ansagen wie schneller, anders, ohne Anschnallen, schneller Fahren , schneller ""Laufen"" (wirklich Laufen !), Pause geht nicht, mehr Pakete inkl. Briefen gleichzeitig auf den Arm nehmnen etc. Liste wird zu lang"
Gute Arbeit aber Organisation Katastrophal. Es werden viel zu viele Pakete eingeteilt und am Ende bleiben hunderte übrig,,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,,,,,Man arbeitet Samstags und oft muss man länger machen,,,,,,,,,,,
alles auf meinem Weg zum Start war super professionell danke,,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,,,A,,,Super,,Super,,Super,Super,Super,Super,Super,,
Einmal und NIE wieder!!!,,Nicht empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,Die kameradschaft im Stützpunkt,Eigentlich von Anfang an ein falsches Tätigsbild,,,,Vermeintlich gute Stundenlohn ( 50% vom Weihnachtsgeld ist im Stundenlohn verrechnet!),,,"Nur im Stützpunkt, ansonsten einfach nur Kontrolle, auch durch technische Hilfsmittel ( z. B. ablesen der Motorsteuerung,…)",,,,Durch ständige „ unsichtbare“ Kontrolle,,,
Postbote,,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,,,"Das Packstationen überdacht werden könnten. Wetterverhältnisse, zum Beispiel bei zu viel Sonnenlicht sieht man das Display nicht. Auch als Kunde nur sehr schwer .",,,,,,,,,,,,,
